Abhayapuri#-90.63;26.4&
Hospet#-76.33;15.25&
Howrah/Haora#-88.33;22.62&
Hugli#-88.07;21.93&
Hunza#-74.33;35.9&
Hyderabad#-78.48;17.37&
Hymia#-78.03;33.67&
Ib#-83.8;21.57&
Ichchapuram#-84.67;19.17&
Ichhawar#-77.02;23.02&
Imphal#-93.93;24.8&
Indore#-75.88;22.7&
Indravati#-80.33;19.33&
Ingraj Bazar#-88.17;24.97&
Isagarh#-77.85;24.8&
Isan#-80.12;26.85&
Islampur#-85.2;25.15&
Isogstalo#-78.77;34.25&
Itarsi#-77.85;22.6&
Jabalpur#-79.97;29.15&
Jafarabad#-71.37;20.87&
Jagadhri#-77.33;30.17&
Jagadishpur#-84.35;25.5&
Jagdalpur#-82;19.05&
Jagraon#-75.42;30.83&
Jagital#-79;18.83&
Jahanabad#-81.12;22.58&
Jahazpur#-84.98;25.22&
Jaijon#-76.15;31.35&
Jaipur#-75.83;27&
Jais#-81.53;26.25&
Jaisalmer#-70.9;26.92&
Jaisinghnagar#-78.57;23.63&
Jaitaran#-73.93;26.2&
Jaithari#-78.62;23.23&
Jakam#-74.22;23.9&
Jakhal#-75.83;29.8&
Jakhau#-68.72;23.22&
Jalalabad#-79.7;27.68&
Jalaun#-79.42;26.13&
Jalesar#-78.32;27.48&
Jalgaon#-75.7;21&
Jalna#-75.63;19.8&
Jalor#-72.62;25.35&
Jalpaiguri#-88.77;26.53&
Jamalpur#-86.47;25.3&
Jamalpurganj#-87.98;23.03&
Jambusar#-72.85;22.05&
Jamira#-88.47;21.58&
Jamkhandi#-75.25;16.5&
Jammu#-74.9;32.72&
Jammu & Kashmir#-77;34.42&
Jamnagar#-70.1;22.5&
Jamni#-78.58;25.22&
Jamshedpur#-86.2;22.07&
Jamtara#-86.82;23.98&
Janghai#-82.32;25.55&
Janjgir#-82.57;22.02&
Jaora#-75.17;23.67&
Japla#-84.02;24.55&
Jarwa#-82.5;27.63&
Jasdan#-71.2;22.03&
Jashpurnagar#-84.15;22.9&
Jasidih#-86.65;24.52&
Jaso#-80.48;24.5&
Jasrasar#-73.82;27.72&
Jaunpur#-82.07;25.77&
Jawad#-74.85;24.6&
Jayanti#-89.67;26.75&
Jaynagar#-86.15;26.72&
Jetpur#-70.17;21.75&
Jeypore#-82.63;18.83&
Jha Jha#-86.37;24.77&
Jhaarkand/Jharkhand#-85.83;24&
Jhabua#-74.6;22.77&
Jhajjar#-76.7;28.62&
Jhalawar#-76.17;24.67&
Jhalida#-85.97;23.37&
Jhalrapatan#-76.17;24.55&
Jhansi#-78.6;25.5&
Jhargram#-86.98;22.45&
Jharia#-86.43;23.75&
Jharkhand#-85.83;24&
Jharsuguda#-84.08;21.93&
Jhilmilli#-82.85;23.4&
Jhunjhunu#-75.5;28.17&
Jido#-94.97;29.03&
Jigni#-79.42;25.75&
Jind#-76.37;29.32&
Jobat#-74.57;22.42&
Jodhpur#-73.13;26.38&
Jodiya#-70.3;22.7&
Jogbani#-87.25;26.42&
Johilla#-81.23;23.62&
Jora#-77.82;26.33&
Jorhat#-94.2;26.75&
Joshinath#-79.57;30.57&
Jubbal#-77.67;31.08&
Jubbulpore/Jabalpur#-79.97;23.15&
Jullundur#-75.67;31.33&
Jumna/Yamuna#-81.88;25.5&
Junagadh#-70.5;21.5&
Kachchh, Gulf of#-69.25;22.83&
Kachchh, Rann of#-70;24&
Kachchhidhana#-78.77;21.73&
Kachnara#-75.1;23.83&
Kadi#-72.38;23.3&
Kadipur#-82.38;26.17&
Kaimganj#-79.4;27.55&
Kaimur Hills#-82;24.5&
